,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Monte Alegre,18170.022090843617,9039,22104.855451016763,121.65563333110101,6007.218963764894,4501.337900975277,624,20.363570849626285,0.0,0.0,0,0.0,528.6303713024844,0.0,0,0.0,1780.0415966991086,506.2621323387835,49,2.2902756973943332
Muaná,3767.378303579455,1258,3235.3712538436457,85.87858699429415,357.04787744447964,531.2347411251791,46,16.419591430011877,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.19404260271230506,0.697902774379887,4,0.02157102600051766
Nova Esperança do Piriá,2812.895305020386,1019,1884.7394950277474,67.00354228128971,660.8755318099381,769.8451362550807,63,40.84623568859562,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Nova Ipixuna,1571.1984250653943,1799,1836.3671407401137,116.87684454391447,422.52246710232157,479.8701921696736,52,26.131495250795595,0.0,0.0,0,0.0,0.0,0.0,0,0.0,218.3343390746427,178.38001455646625,28,9.713744631946176
Nova Timboteua,490.33770838022923,460,322.6793076306332,65.80756529954935,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.020770372127118e-06,0.0,0,0.0
Novo Progresso,38567.51725262104,3419,18868.584279165334,48.923512902254636,1224.4438235968228,1979.7769394246238,117,10.49245089156313,0.0,0.0,0,0.0,0.0,0.0,0,0.0,14778.794132983376,7703.6545658190935,392,40.82794157654668
Novo Repartimento,15457.473133122634,11324,18600.9372638704,120.33620957109656,4366.891811645432,6880.935982626629,636,36.99241540904415,0.0,0.0,0,0.0,2124.8697670233864,0.3951095022123024,2,0.0021241375991291837,2493.0870737491687,858.8370337166435,151,4.61717074539469
Óbidos,28038.07989807044,3084,14843.550037428668,52.940679573604434,2466.3034427280345,5218.336299563378,308,35.155581288877066,1385.3104735227453,4705.145416611634,59,31.698248766281655,6691.722317010051,1.3039905055302596,1,0.008784896485289503,3401.5186755535747,2324.4156933554755,42,15.659432463894138
Oeiras do Pará,3858.337114593903,1971,3550.691900707528,92.02648175239204,151.20089314841374,162.37511452588922,14,4.573055592165954,258.69339253333766,524.4634837747004,8,14.770740420203547,0.0,0.0,0,0.0,839.0520215371843,879.7182851385102,5,24.775967888489937
Oriximiná,107715.19471912118,3172,22853.28733180238,21.21640070502101,3903.359633399537,11183.194307111564,299,48.93472936626126,8828.705503502806,13720.83028737246,87,60.0387597992465,1.6636702003108177,0.0,0,0.0,34429.9808583253,6911.830495757277,31,30.244360014407423
Ourém,562.3436135750666,956,661.9892406930973,117.71970459209797,0.0,0.0,0,0.0,6.64680185049689,13.053553136191763,2,1.9718678694120164,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Ourilândia do Norte,14544.137588715763,1773,4325.394072800257,29.73977691297533,857.4319581090128,2225.9223279631706,203,51.46172326726545,0.0,0.0,0,0.0,12308.969904200689,57.78219157976789,6,1.33588271050549,0.0,0.0,0,0.0
Pacajá,11865.617499009257,10185,19234.137848726095,162.09976303662316,3938.883591267803,6650.787004849764,738,34.578035455279085,0.0,0.0,0,0.0,1.1288652907957697,0.02440752960038871,1,0.0001268969256243802,0.0,0.0,0,0.0
Palestina do Pará,990.3214486859451,710,1217.7881510002942,122.96897665057887,142.145437719491,131.43403371863653,12,10.792848789888149,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.3626188413363371,0.2707813078417843,3,0.022235501931872455
Paragominas,19387.64045541718,3750,21105.952239677725,108.8629237178804,806.1863273858021,1099.3601192440406,147,5.208768155825351,0.0,0.0,0,0.0,29.76670065112119,3.8171921269509035,13,0.018085855987937122,0.0,0.0,0,0.0
Parauapebas,6930.058968797057,1754,4819.208190895517,69.54065200013805,497.69668839923384,1095.4529780302266,67,22.730974355906934,0.0,0.0,0,0.0,2668.2722247790916,12.167831540919396,1,0.2524861151237863,3097.8152638231595,2943.2680654167566,28,61.07368573487237
Pau D'Arco,1687.6960697474487,1244,1926.0809637099983,114.12487107339308,149.3027044678702,164.7941586108735,12,8.555931018260447,0.0,0.0,0,0.0,199.1161402759374,1.6554036265781236,3,0.08594673109636582,0.0,0.0,0,0.0
Peixe-Boi,450.66531355323895,489,341.1424931863904,75.69752606356064,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Piçarra,3336.47336252772,3419,4168.11455106403,124.92575537621727,698.7459157648216,777.2650595267389,110,18.64788143426432,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Placas,7195.065310886471,4669,8871.343980972892,123.29761576382265,3058.8810329113235,4873.067262775505,308,54.930428503586114,0.0,0.0,0,0.0,1284.0008640220492,435.2869621035434,16,4.906663105806058,194.80955266432653,194.80955266432653,1,2.1959418221427414
Ponta de Pedras,3367.0606849668443,1331,2732.632570644287,81.15780576349178,51.56945134575058,102.97769958178897,8,3.768442954535573,3.134412362857262e-05,1.287947768096413e-06,1,4.713212386957485e-08,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Portel,25431.629859206412,4892,47191.5699100123,185.5625068911132,5430.291738512086,13966.239714734129,520,29.594776654741068,25.743844374585827,102.97131442046039,4,0.2181985354943949,0.0,0.0,0,0.0,1886.6989139840528,2000.2584710514684,13,4.238592771687148
Porto de Moz,17448.579930427684,1923,19615.237049565876,112.41738369413015,231.52025730511969,539.2836136427609,59,2.7493096936837493,6.584448221016122,12.230631193763294,3,0.06235270653552454,22.95850041865939,0.0,0,0.0,12901.649268141926,16314.908185098404,80,83.17466744792404
Prainha,14810.264968145884,5621,16700.01494145943,112.75973102019475,1417.0875556370286,3214.5255157847223,227,19.248638561420364,18.073864882361303,25.438965726809815,2,0.15232899980020426,0.0,0.0,0,0.0,2125.7099323678062,2383.814860175529,43,14.274327708878115
Primavera,259.5697211367961,483,209.51098151754397,80.71472304241887,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Quatipuru,302.85777173038116,256,73.63732344311936,24.314160083260106,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Redenção,3864.0874576395586,2611,4896.632402609393,126.72157284971446,389.26887211761243,479.7072653722007,59,9.796677102340109,0.0,0.0,0,0.0,13.538659230369369,4.3219207784723634,2,0.08826312500340504,0.16596944468636612,0.0,0,0.0
Rio Maria,4151.133269602409,2009,5026.217651582754,121.08061401902808,424.1441577601041,571.8215437504713,117,11.376776403035487,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Rondon do Pará,8278.225638220363,4706,9653.739708952693,116.61604951164432,411.04832836846504,520.5214453622247,60,5.391915061470975,0.0,0.0,0,0.0,5.186463384558191,1.066719272960975,1,0.011049803548895355,0.0,0.0,0,0.0
