,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Mocajuba,0.0708442719829167,807,0.05807908221347355,81.9813382054073,0.005105856364650403,0.008481196861049306,8,14.602842431077164,0.012691003174260095,0.014572243435920888,5,25.09034729984133,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Moju,0.7396264266223235,11228,0.9048859172581831,122.34364331606642,0.03841251499614544,0.0728925801316085,44,8.055444199250445,0.01676584805071074,0.0370085983773712,32,4.089863448146897,0.006985557027107614,0.0003936528158593706,1,0.04350303263113477,0.0,0.0,0,0.0
Mojuí dos Campos,0.40581911282141536,3487,0.8006098992813154,197.2824526955268,0.1743079641944812,0.4721992218538962,208,58.97993795452391,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Monte Alegre,1.4749855173031434,9039,1.7944029726171555,121.65563333110101,0.48764723160612444,0.36540452065669465,624,20.363570849626285,0.0,0.0,0,0.0,0.042912558816902674,0.0,0,0.0,0.14449820491145296,0.04109677519517221,49,2.2902756973943332
Muaná,0.30582397798965927,1258,0.26263731098726056,85.87858699429415,0.028984029055188876,0.043123973406877875,46,16.419591430011877,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.5751771093590847e-05,5.66535626401224e-05,4,0.02157102600051766
Nova Esperança do Piriá,0.22834203590131374,1019,0.15299725257109448,67.00354228128971,0.05364780699143406,0.06249361838226518,63,40.84623568859562,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Nova Ipixuna,0.127544969961749,1799,0.1490705362657758,116.87684454391447,0.03429905129422894,0.038954360104626724,52,26.131495250795595,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.017723698213186916,0.014480331214330172,28,9.713744631946176
Nova Timboteua,0.03980408030504881,460,0.02619409613863006,65.80756529954935,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.88747292518181e-10,0.0,0,0.0
Novo Progresso,3.1307903260404872,3419,1.5316926091029577,48.923512902254636,0.09939651683014249,0.16071209481982987,117,10.49245089156313,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.1996962469484296,0.625358563576839,392,40.82794157654668
Novo Repartimento,1.2547892837701975,11324,1.5099658621933665,120.33620957109656,0.35449060796973664,0.5585728442773252,636,36.99241540904415,0.0,0.0,0,0.0,0.17249027639290468,3.2073752612864455e-05,2,0.0021241375991291837,0.20238100475446177,0.06971770205463881,151,4.61717074539469
