,Unnamed: 0,CAR,cond,cidade,Área_Total,Área CAR sob Assen.,PC CAR sob Assen.,Área CAR sob Quil.,PC CAR sob Quil.,Área CAR sob TIs,PC CAR sob TIs,Área CAR sob UCs,PC CAR sob UCs
122367,PA-1503705-0EBDBBABACDE47FFA6DE114332CB5BD5,PA-1503705-0EBDBBABACDE47FFA6DE114332CB5BD5,Aguardando analise,Itupiranga,0.0752944971826186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122790,PA-1506708-FC996B3B952144FB8E81970A6B1906B2,PA-1506708-FC996B3B952144FB8E81970A6B1906B2,"Analisado, aguardando atendimento a notificacao",Santana do Araguaia,9.652282348923149e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122938,PA-1506708-65DCEBD3C7FC48918D156EA7AA80EFA2,PA-1506708-65DCEBD3C7FC48918D156EA7AA80EFA2,"Analisado, aguardando atendimento a notificacao",Santana do Araguaia,7.6779706192358e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122976,PA-1503705-54F2788B7F974FC9AF2D1678273D588E,PA-1503705-54F2788B7F974FC9AF2D1678273D588E,"Analisado, aguardando atendimento a notificacao",Itupiranga,0.0249173044637444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124052,PA-1503457-8B3412141121476DAC5155C06E5C3FA5,PA-1503457-8B3412141121476DAC5155C06E5C3FA5,Aguardando analise,Ipixuna do Para,0.0023937390993191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124055,PA-1503457-934D55CE5127422389719EA404DE569F,PA-1503457-934D55CE5127422389719EA404DE569F,Cancelado por decisao administrativa,Ipixuna do Para,0.0026795853129057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125786,PA-1506708-849EAC5B4C6E42A9ACCF519B0CED97E3,PA-1506708-849EAC5B4C6E42A9ACCF519B0CED97E3,"Analisado, aguardando atendimento a notificacao",Santana do Araguaia,9.43097244650366e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126164,PA-1504208-8959CF254602433FABD0A407216A947B,PA-1504208-8959CF254602433FABD0A407216A947B,Aguardando analise,Maraba,0.0128548008567564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132507,PA-1505494-A7E213F5368A48B39D9D4F33F9E30B25,PA-1505494-A7E213F5368A48B39D9D4F33F9E30B25,Aguardando analise,Palestina do Para,0.0140618767982563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136448,PA-1507300-0B552E31357648AF90F30A89D359D053,PA-1507300-0B552E31357648AF90F30A89D359D053,Aguardando analise,Sao Felix do Xingu,0.0358631536113861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
